Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
02/19/2021,321,8,30,47,84,63,40,43,14,16,14,0,164,155,2,79,12,51,75,24,80,0,0,0,1,0,1,3,3,0,3,5,0,1,0,6,1,0,0,0,3,5,2,3,4,3,10,0,14,16,0,7,2,14,4,0,3
12/09/2020,1754,28,124,194,431,330,295,220,178,74,32,0,940,805,9,616,51,289,268,79,451,0,1,0,1,2,9,8,7,0,11,17,0,9,1,9,9,0,0,5,9,5,11,23,26,25,20,0,64,60,0,31,6,50,27,7,3
10/31/2020,1066,10,87,136,272,223,168,129,86,39,12,1,543,522,1,331,34,141,228,63,269,0,0,1,0,2,1,5,1,0,2,8,0,4,1,2,3,0,0,2,7,5,15,14,22,14,7,1,42,45,0,23,3,36,16,4,5
03/21/2020,125,2,66,0,18,25,20,28,16,13,5,0,53,72,0,25,6,61,26,3,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,4,6,8,19,11,14,4,0,23,43,0,13,4,35,12,1,1
10/16/2020,952,3,55,113,243,181,159,133,73,35,15,0,495,451,6,349,20,168,227,32,156,0,0,0,0,0,2,0,1,0,1,2,0,0,0,3,0,0,0,1,6,7,3,10,12,12,4,0,35,20,0,15,1,14,10,3,12
03/03/2021,337,4,22,46,92,72,56,29,24,14,4,0,160,177,0,75,21,71,88,34,48,0,0,0,0,0,0,1,3,0,2,2,0,0,1,2,1,0,0,1,1,1,1,4,7,5,2,0,14,8,0,2,0,13,7,0,0
04/01/2020,461,24,183,3,57,69,87,84,91,41,29,0,237,208,16,99,19,222,62,16,43,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1,1,4,13,26,40,43,31,25,0,78,102,3,39,5,101,26,8,4
10/19/2020,1167,4,59,151,275,251,162,169,96,43,20,0,597,568,2,429,25,201,250,50,212,0,0,0,0,0,3,1,0,0,1,3,0,1,0,2,1,0,0,2,4,1,8,15,11,10,8,0,29,30,0,13,1,20,19,3,3
06/28/2020,110,5,27,8,36,22,20,10,9,3,2,0,64,46,0,33,1,21,23,7,25,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,0,5,0,4,5,4,4,5,0,17,10,0,9,0,12,5,0,1
04/21/2020,870,36,169,20,148,164,158,152,108,56,64,0,435,430,5,358,13,208,118,37,136,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,17,33,36,33,34,0,71,98,0,55,4,71,27,10,2
03/18/2021,420,3,31,55,162,77,54,42,22,3,5,0,204,216,0,74,13,82,141,18,92,0,0,0,0,1,0,0,2,0,2,1,0,1,1,1,0,0,0,4,4,4,4,4,10,1,0,0,16,15,0,4,2,13,8,4,0
04/20/2020,989,40,183,24,158,182,212,193,122,56,41,1,476,502,11,405,25,248,116,44,151,0,0,1,1,4,6,10,18,0,15,25,0,11,2,15,11,1,0,1,8,15,31,34,38,26,30,0,76,106,1,65,5,69,30,12,2
12/23/2020,1224,21,99,141,286,223,195,169,117,61,31,1,635,582,7,425,50,208,225,56,260,0,0,0,2,2,5,5,7,0,6,15,0,8,1,5,7,0,0,1,6,5,6,15,21,24,21,0,49,50,0,25,7,36,26,3,2
07/07/2020,343,4,26,36,107,69,55,45,19,8,4,0,184,158,1,100,12,91,70,12,58,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,3,5,4,6,3,0,10,16,0,4,2,14,4,1,1
03/11/2021,342,1,26,38,104,78,46,36,27,5,8,0,155,183,4,84,14,49,100,22,73,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2,3,5,6,4,2,1,15,11,0,9,1,7,6,1,2
03/09/2021,323,4,21,43,102,60,37,38,19,12,12,0,158,161,4,66,13,56,80,35,73,0,0,0,0,3,0,1,0,0,3,1,0,1,0,2,1,0,0,1,1,3,4,3,3,5,1,0,12,9,0,5,1,8,4,2,1
01/08/2021,1216,18,58,160,329,218,169,154,110,48,28,0,614,596,6,395,32,215,252,63,259,0,0,1,2,1,4,6,4,0,10,8,0,4,3,7,3,0,1,2,2,3,9,15,13,6,8,0,28,30,0,13,2,29,10,1,3
02/04/2021,536,9,57,67,137,121,69,63,46,21,12,0,267,266,3,146,18,104,137,24,107,0,0,0,0,1,1,2,5,0,5,4,0,1,1,4,3,0,0,1,4,7,5,11,14,10,5,0,36,21,0,12,1,24,15,1,4
11/05/2020,2631,6,120,289,762,577,386,311,186,70,50,0,1370,1250,11,952,43,329,492,141,674,0,0,1,0,1,0,0,4,0,3,3,0,1,0,1,2,1,1,2,9,12,9,25,30,19,14,0,53,67,0,33,3,47,21,10,6
